流す行,発話者,立ち絵,テキスト,場所,,リスカちゃんのセリフから始めてもいいかも
1,Player,Suspicious,（…また1位…）,Left,,一言二言世界観説明のちさっそく行ってみようという流れ
2,Player,Suspicious,（こんなゲームで1位になったところでなんにもなんないのに）,Left,,その間困惑しつつも進むしかない地雷ちゃんのセリフ
3,Player,Suspicious,（このゲームも）,Left,,多分
4,Player,Suspicious,（このゲームも）,Left,,
5,Player,Suspicious,（このゲームも）,Left,,
6,Player,Normal,（私の勝てる世界はここしかない）,Left,,
7,Player,Suspicious,（学校も恋も上手くいかないし、人付き合いもそんなにいいわけじゃない）,Left,,
8,Player,Normal,（だからここは私の王国）,Left,,
9,Player,Normal,（私が王様になれる唯一の場所）,Left,,
10,Player,Smiling,誰も私に勝てない、私が絶対の国,Left,,
11,Player,Normal,（領土はこのゲームセンター内）,Left,,
12,Player,Suspicious,（国家予算はこのいっぱいの100円玉）,Left,,
13,Player,Smiling,ここなら欲しいものも手に入れられる,Left,,
14,Player,Normal,（小手先のテクニックと…）,Left,,
15,Player,Suspicious,（いっぱいの100円があれば＿）,Left,,
16,Player,Suspicious,ぐぬぬ…,Left,,
17,Player,Suspicious,これは絶対取りたいぃ…！,Left,,
18,Player,Conversation,あっ,Left,,
19,Player,Conversation,…………………………………………………,Left,,
20,Player,Suspicious,（亡命者1名、今日は見逃してやる）,Left,,
21,Player,Suspicious,今日はあんま収穫なかったな〜,Left,,
22,Player,Normal,（明日また来よ、授業中にでも攻略法を＿）,Left,,
23,Player,Conversation,………………？,Left,,
24,Player,Conversation,（…これ可愛い、でもこんなぬいぐるみあったっけ？）,Left,,
25,Player,Conversation,（何かのアニメのキャラ？今流行ってるアイドルのグッズかなにかなのかな）,Left,,
26,Player,Suspicious,（どこか私と似てるような、雰囲気的に）,Left,,
27,Player,Suspicious,………………………………,Left,,
28,Player,Normal,チャリン,Left,,
29,Player,Suspicious,………………ぐ,Left,,
30,Player,Suspicious,………ぐぐ,Left,,
31,Player,Suspicious,…………ぐぐぐ…,Left,,
32,Player,Suspicious,なんかやけに重くない…？,Left,,
33,Player,Suspicious,（金額的にアームパワーは最強になっててもおかしくないのに……）,Left,,
34,Player,Suspicious,ぐぬぬぬぬぬぬぬぬぬぬ！,Left,,
35,Player,Conversation,あっ！,Left,,
36,Player,Smiling,（やっ、やった！取れた）,Left,,
37,Player,Conversation,（重さ、うん、やっぱり重い）,Left,,
38,Player,Suspicious,（中に何か入ってるとか?）,Left,,
39,Player,Suspicious,う,Left,,
39,Riska,Surprised,はぁ〜、やっと出れたぁ〜！,Right,,
40,Riska,Surprised,う,Right,,
40,Player,Conversation,………………………………,Left,,
41,Riska,Surprised,う,Right,,
41,Player,Conversation,人形が喋ったぁ！？,Left,,
42,Riska,Normal,う,Right,,
42,Player,Conversation,（ななななんで！？人形が喋った！人形が喋った！？）,Left,,
43,Riska,Normal,う,Right,,
43,Player,Suspicious,（中に機械が！？誰かが遠隔で！？もしかして人形がやけに重かったのも＿）,Left,,
44,Player,Suspicious,う,Left,,
44,Riska,Surprised,ちょっとちょっと！僕は正真正銘ただの人形だよ！中に何も入ってないよ！,Right,,
45,Player,Suspicious,u,Left,,
45,Riska,Normal,いわゆるあれだよ、あのー、魔法の力とかファンタジーとかそういう…,Right,,
46,Player,Suspicious,u,Left,,
46,Riska,Surprised,そんなことはいいんだ！,Right,,
47,Player,Suspicious,u,Left,,
47,Riska,Surprised,重要なことじゃない！,Right,,
48,Player,Suspicious,u,Left,,
48,Riska,Surprised,重要なのは何より君！,Right,,
49,Player,Suspicious,u,Left,,
49,Riska,Surprised,ここで会うのが君と僕の運命！,Right,,
50,Player,Suspicious,u,Left,,
50,Riska,Normal,そうなぜなら…,Right,,
51,Player,Suspicious,u,Left,,
51,Riska,Surprised,君にはやらなきゃいけないことがある！,Right,,
52,Riska,Surprised,u,Right,,
52,Player,Conversation,……………はぁ？,Left,,
53,Riska,Surprised,u,Right,,
