流す行,発話者,立ち絵,テキスト,場所,
1,Riska,Normal,あ,Right,
1,Player,Conversation,だいぶ進んだけど…,Left,
2,Riska,Normal,あ,Right,
2,Player,Suspicious,（未だにゴールも出口もないな）,Left,
3,Riska,Normal,あ,Right,
3,Player,Conversation,（一番奥に行けば何かしらヤミがあるんだよね？）,Left,
4,Riska,Normal,あ,Right,
4,Player,Conversation,（それをぶっ飛ばせばって言ってたけど）,Left,
5,Riska,Normal,あ,Right,
5,Player,Conversation,（ボスとかご丁寧に待ち構えてるのかな）,Left,
6,Player,Normal,あ,Left,
6,Riska,Normal,むむむ…,Right,
7,Riska,Normal,あ,Right,
7,Player,Conversation,どうしたの？,Left,
8,Player,Normal,あ,Left,
8,Riska,Surprised,どうやらあっちが対策してきたみたいだ,Right,
9,Riska,Happy,あ,Right,
9,Player,Conversation,対策？何を？誰が？,Left,
10,Player,Normal,あ,Left,
10,Riska,Normal,僕らを侵入者、あるいは異物とみなして何とか排除しようとしてきているんだ,Right,
11,Riska,Normal,あ,Right,
11,Player,Conversation,排除？消そうとしてるってこと？,Left,
12,Player,Normal,,Left,
12,Riska,Normal,そう、そもそも持ち合わせている人間のれっきとした防衛反応とも言えるし、ヤミがより深層心理の支配を進め、僕らの計画を妨げるために打った対抗策とも言える,Right,
13,Player,Normal,あ,Left,
13,Riska,Surprised,例えば、チョーカーをつけられない壁を出したりとか、触るとダメージを食らう床を作るとか、僕らの特性に合わせて何かしらしてくるだろう,Right,
14,Riska,Normal,あ,Right,
14,Player,Suspicious,（…なんかメタ的だなぁ）,Left,
15,Player,Normal,あ,Left,
15,Riska,Normal,どちらにせよ攻略難易度が上がるってことだ、奥に行けば行くほどより厳しい戦いになるだろうね,Right,
16,Riska,Normal,あ,Right,
16,Player,Conversation,今よりも？今ですらだいぶしんどいのに,Left,
17,Riska,Normal,あ,Right,
17,Player,Suspicious,（これ以上は、ほんとに私の命の保証ないじゃない…）,Left,
18,Player,Suspicious,あ,Left,
18,Riska,Surprised,こんなとこで弱くなってても仕方ないよ、君の目的は一貫して“救う”こと,Right,
19,Player,Suspicious,あ,Left,
19,Riska,Normal,救われたかったら自分で救うことだね,Right,
20,Riska,Normal,あ,Right,
20,Player,Suspicious,またそれっぽいことを言う…,Left,
