流す行,発話者,立ち絵,テキスト,場所,
1,Riska,Normal,あ,Right,
1,Player,Conversation,や、やった…！,Left,
2,Riska,Normal,あ,Right,
2,Player,Smiling,倒したああ〜〜！,Left,
3,Player,Smiling,あ,Left,
3,Riska,Surprised,やったねぇYUMEMIちゃん！大金星だ！,Right,
4,Riska,Surprised,あ,Right,
4,Player,Smiling,これで帰れるんだよね、私！？,Left,
5,Player,Smiling,あ,Left,
5,Riska,Normal,ぶー、最後の最後までそれか,Right,
6,Player,Smiling,あ,Left,
6,Riska,Surprised,まったく君には救う意思を優先して欲しいんだがね,Right,
7,Player,Normal,あ,Left,
7,Riska,Surprised,ま、とりあえずボスも倒したことだし、あとはここから出るだけだ,Right,
8,Riska,Normal,あ,Right,
8,Player,Conversation,出る方法は…あるんだよね？,Left,
9,Player,Normal,あ,Left,
9,Riska,Surprised,さあね〜僕は入る方法しか知らないなぁ,Right,
10,Riska,Normal,あ,Right,
10,Player,Suspicious,はあっ！？,Left,
11,Player,Normal,あ,Left,
11,Riska,Surprised,言っただろう？帰ろうと思って帰れる出口はない,Right,
12,Riska,Normal,あ,Right,
12,Player,Conversation,でもあんたボスを倒せばって…,Left,
13,Player,Conversation,あ,Left,
13,Player,Normal,それはあくまで推測さ、出たければボスを倒せば何とかなるかも~って,Left,
14,Player,Conversation,あ,Left,
14,Riska,Surprised,大体の横スクロールアクションゲームはそうやってできてるだろ？,Right,
15,Player,Surprised,あ,Left,
15,Player,Suspicious,もぉ〜！この馬鹿!絞め落としてやる！,Left,
16,Player,Normal,あ,Left,
16,Riska,Surprised,うわわわ！やめてよ！僕は馬でも鹿でもないよ！ウサギ目リス科だよ〜！,Right,
17,Riska,Surprised,あ,Right,
17,Player,Suspicious,“自称”でしょうが！,Left,
18,Player,Suspicious,あ,Left,
18,Riska,Surprised,その後、私は無事元の世界に戻ってお布団でぐっすり眠るのでした…,Right,
19,Riska,Surprised,あ,Right,
19,Player,Suspicious,勝手に締めるな！,Left,
20,Player,Suspicious,あ,Left,
20,Riska,Surprised,絞めてるのはそっちじゃないか〜！,Right,
