流す行,発話者,立ち絵,テキスト,場所,
1,Player,Normal,読み込みません,Left,
1,Owner,Normal,こんにちは,Right,
2,Owner,Normal,アリス・ラティスへようこそ,Right,
2,Player,Normal,こんばんは,Left,
4,Player,Happy,うわあ……ここ、絵本の世界みたい……！,Left,
5,Player,Angry,あっ！は、はじめまして！,Left,
6,Player,Happy,シナモンです！今日からよろしくお願いします！,Left,
7,Player,Normal,制服、すっごく可愛いですね！,Left,
8,Owner,Normal,気に入ってくれて嬉しいな,Right,
9,Owner,Normal,おとぎ話の住人になれるように、こだわって作ったんだ,Right,
10,Owner,Normal,まるで君のためのものみたいだ。きっとよく似合う,Right,
11,Player,Happy,えへへ、なんだか不思議な気分ですっ。がんばりますっ！,Left,
12,Owner,Normal,うんうん、やる気があっていいね,Right,
13,Owner,Normal,それじゃあまず、普通のお仕事の説明からしておこうか,Right,
14,Owner,Normal,文取り、配膳、レジ対応、掃除……,Right,
15,Owner,Normal,といった基本的なカフェ業務がメインだよ,Right,
16,Owner,Normal,そんなに難しいことはないから大丈夫だと思うけど……,Right,
17,Owner,Normal,”ノルマ”は必ずこなしてね,Right,
18,Player,Angry,はいっ！がんばりますっ！,Left,
19,Owner,Normal,……それとね、ここだけの話だけど,Right,
20,Owner,Normal,このお店では“特別なお仕事”をお願いすることもあるんだ,Right,
21,Player,Normal,特別なお仕事……ですか？,Left,
22,Owner,Normal,うん。ちょっと裏方のお仕事もやってもらおうと思うんだ,Right,
23,Owner,Normal,君みたいな素直で器用な子にしかお願いできないような……,Right,
24,Owner,Normal,大事なお仕事なんだ,Right,
25,Player,Normal,えっ……えっと、それって何をするんですか……？,Left,
26,Owner,Normal,それは、必要なタイミングになったら教えるよ,Right,
27,Owner,Normal,危険な仕事ではないから安心してもらって大丈夫だよ,Right,
28,Owner,Normal,それに、普通のバイトよりもちょっぴり…,Right,
29,Owner,Normal,いや、かなりいいお給料が出るんだ,Right,
30,Player,Sad,……そ、そんなに出るんですか？ ,Left,
31,Owner,Normal,仕事が増えちゃうからね。やってくれる子が少ないんだ,Right,
32,Owner,Normal,無理にとは言わないよ。やるかどうかは君の自由だ,Right,
32,Owner,Normal,業務中に手が空いてたらやる、くらいで大丈夫さ,Right,
33,Player,Sad,そ、そうなんですね！,Left,
34,Player,Normal,じゃあちょっと、がんばってみようかな……？,Left,
35,Owner,Normal,そう言って貰えてうれしいよ,Right,
36,Owner,Normal,じゃあそろそろ準備をしようか,Right,
37,Owner,Normal,開店時間までもうすぐだからね,Right,
38,Player,Happy,はいっ！,Left,
1,Player,Normal,Day1_Epilogue_Story,Center,
1,Owner,Normal,今日はお疲れさま、シナモンさん,Right,
2,Player,Happy,はいっ！ありがとうございました！,Left,
3,Player,Normal,ちょっとドキドキしたけど、すっごく楽しかったですっ！,Left,
4,Owner,Normal,それはよかった。君、初日とは思えないくらいよく動けてたよ,Right,
5,Player,Happy,えへへ、ほんとですか！？　やったぁ！,Left,
6,Owner,Normal,あと、特別なお仕事についても……よく考えてみてくれるとうれしいな,Right,
7,Player,Normal,……？わかりましたっ！,Left,
8,Owner,Normal,仕事ってね、少しずつできることを増やしていくものだから,Right,
9,Owner,Normal,焦らず、でもしっかり前に進んでいこうね,Right,
10,Player,Happy,はいっ！　店長さん、明日もよろしくお願いしますっ！,Left,
11,Owner,Normal,うん。よろしくね、シナモンさん,Right,
